ISBN,Title,Author,Publisher,PubDate,Genre,SubGenre,Pages,HardPrice,PaperPrice,Description,Review,Language,Volume,Illustrator
525428089,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,Viking,7-Jun-16,non-fiction,research anddevelopment,336,18.3,11.53,"Praise for The Inevitable
""Anyone can claim to be a prophet, a fortune teller, or a futurist, and plenty of people do. What makes Kevin Kelly different is that he's right. In this book, you're swept along by his clear prose and unassailable arguments until it finally hits you: The technological, cultural, and societal changes he’s foreseeing really are inevitable. It’s like having a crystal ball, only without the risk of shattering."" 
—David Pogue, Yahoo Tech
""This book offers profound insight into what happens (soon!) when intelligence flows as easily into objects as electricity."" 
—Chris Anderson, author of The Long Tail
“How will the future be made? Kevin Kelly argues that the sequence of events ensuing from technical innovation has its own momentum . . . and that our best strategy is to understand and embrace it. Whether you find this prospect wonderful or terrifying, you will want to read this extremely thought-provoking book.”
—Brian Eno, musician and composer
""Kevin Kelly has been predicting our technological future with uncanny prescience for years. Now he's given us a glimpse of how the next three decades will unfold with The Inevitable, a book jam-packed with insight, ideas, and optimism.""
—Ernest Cline, author of Ready Player One",4.3,English,1,NA
1451673310,Fahrenheit 451,Ray Bradbury,Simon & Schuster,"Reissued January 10, 2012",fiction,speculative fiction,249,16.35,10.08,"In Fahrenheit 451, Ray Bradbury's classic, frightening vision of the future, firemen don't put out fires--they start them in order to burn books. Bradbury's vividly painted society holds up the appearance of happiness as the highest goal--a place where trivial information is good, and knowledge and ideas are bad. Fire Captain Beatty explains it this way, ""Give the people contests they win by remembering the words to more popular songs.... Don't give them slippery stuff like philosophy or sociology to tie things up with. That way lies melancholy.""
Guy Montag is a book-burning fireman undergoing a crisis of faith. His wife spends all day with her television ""family,"" imploring Montag to work harder so that they can afford a fourth TV wall. Their dull, empty life sharply contrasts with that of his next-door neighbor Clarisse, a young girl thrilled by the ideas in books, and more interested in what she can see in the world around her than in the mindless chatter of the tube. When Clarisse disappears mysteriously, Montag is moved to make some changes, and starts hiding books in his home. Eventually, his wife turns him in, and he must answer the call to burn his secret cache of books. After fleeing to avoid arrest, Montag winds up joining an outlaw band of scholars who keep the contents of books in their heads, waiting for the time society will once again need the wisdom of literature.
Bradbury--the author of more than 500 short stories, novels, plays, and poems, including The Martian Chronicles and The Illustrated Man--is the winner of many awards, including the Grand Master Award from the Science Fiction Writers of America. Readers ages 13 to 93 will be swept up in the harrowing suspense of Fahrenheit 451, and no doubt will join the hordes of Bradbury fans worldwide. --Neil Roseman --This text refers to an out of print or unavailable edition of this title.",4.4,English,Reissued,NA
1476746583,All the Light We Cannot See,Anthony Doerr,Scribner,6-May-14,fiction,historical fiction,531,16.84,15.3,"Marie-Laure lives with her father in Paris near the Museum of Natural History, where he works as the master of its thousands of locks. When she is six, Marie-Laure goes blind and her father builds a perfect miniature of their neighborhood so she can memorize it by touch and navigate her way home. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great-uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel.
In a mining town in Germany, the orphan Werner grows up with his younger sister, enchanted by a crude radio they find. Werner becomes an expert at building and fixing these crucial new instruments, a talent that wins him a place at a brutal academy for Hitler Youth, then a special assignment to track the resistance. More and more aware of the human cost of his intelligence, Werner travels through the heart of the war and, finally, into Saint-Malo, where his story and Marie-Laure’s converge.
",4.6,English,1,NA
61577073,The Poisonwood Bible: A Novel,Barbara Kingsolver,Deckle Edge,10-Jun-08,fiction,literary fiction,576,21.74,11.72,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it—from garden seeds to Scripture—is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.",4.4,English,1,NA
60256656,The Giving Tree,Shel Silverstein,Harper & Row,18-Feb-64,fiction,Children's,57,10.39,38,"Once there was a tree...and she loved a little boy.'
So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.
Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.
This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.",4.8,English,Reissued,Shel Silverstein
399588175,Born a Crime: Stories from a South African Childhood,Trevor Noah,Spiegel & Grau,15-Nov-16,non-fiction,biography,304,16.8,11.72,"Born a Crime is the story of a mischievous young boy who grows into a restless young man as he struggles to find himself in a world where he was never supposed to exist. It is also the story of that young man’s relationship with his fearless, rebellious, and fervently religious mother—his teammate, a woman determined to save her son from the cycle of poverty, violence, and abuse that would ultimately threaten her own life.
The stories collected here are by turns hilarious, dramatic, and deeply affecting. Whether subsisting on caterpillars for dinner during hard times, being thrown from a moving car during an attempted kidnapping, or just trying to survive the life-and-death pitfalls of dating in high school, Trevor illuminates his curious world with an incisive wit and unflinching honesty. His stories weave together to form a moving and searingly funny portrait of a boy making his way through a damaged world in a dangerous time, armed only with a keen sense of humor and a mother’s unconventional, unconditional love.
",4.8,English,1,NA
1101886714,Sleeping Giants: Themis Files Book 1,Sylvain Neuvel,Del Rey,24-Jan-17,fiction,speculative fiction,336,15.81,10.25,"A girl named Rose is riding her new bike near her home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand.
 
Seventeen years later, the mystery of the bizarre artifact remains unsolved—its origins, architects, and purpose unknown. Its carbon dating defies belief; military reports are redacted; theories are floated, then rejected.
 
But some can never stop searching for answers.
 
Rose Franklin is now a highly trained physicist leading a top secret team to crack the hand’s code. And along with her colleagues, she is being interviewed by a nameless interrogator whose power and purview are as enigmatic as the provenance of the relic. What’s clear is that Rose and her compatriots are on the edge of unraveling history’s most perplexing discovery—and figuring out what it portends for humanity. But once the pieces of the puzzle are in place, will the result prove to be an instrument of lasting peace or a weapon of mass destruction?
 ",3.8,English,Reprint edition ,NA
439136369,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Scholastic,11-Sep-01,fiction ,middle-grades,448,15.84,6.81,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.
Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkban guards heard Black muttering in his sleep, ""He's at Hogwarts...he's at Hogwarts.""
Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst.",4.7,English,3,NA
307461394,Bobby Flay's Barbecue Addiction,Bobby Flay,Clarkson Potter,23-Apr-13,non=fiction,cookbook,288,17.5,NA,"You’ve always known the best grilling recipes come from chef-restaurateur and Food Network star Bobby Flay. Now, just as on his Emmy award-winning show of the same name, Bobby turns his attention to true barbecue in Bobby Flay’s Barbecue Addiction. With this book you get the best of both worlds and can decide whether to barbecue Tuscan Rosemary Smoked Whole Chickens or quickly grill some Pimiento Cheese-Bacon Burgers, depending upon your craving.
   Here is everything you need for a great backyard bash: pitchers of cold drinks, such as Sparkling Bourbon Lemonade, and platters of starters to share, like Grilled Shrimp Skewers with Cilantro-Mint Chutney, and inventive sides, including New Potato-Corn Chowder Salad.
   You’ll also find tons of helpful information on the pros and cons of different cookers, fuels, woods, and grilling gear; how to light and tend a fire; how to tell when your steaks are done; as well as Bobby’s top ten tips for the perfect cookout. With 150 recipes and 100 color photographs, Bobby Flay’s Barbecue Addiction is the new outdoor cooking manifesto for fellow worshippers of smoke, fire, and good times.",4.8,English,1,NA
142422835,Nerve,Jeanne Ryan,Speak,12-Jul-16,fiction ,young adult,320,10.69,6.7,"When Vee is picked to be a player in NERVE, an anonymous game of dares broadcast live online, she discovers that the game knows her. They tempt her with prizes taken from her ThisIsMe page and team her up with the perfect boy, sizzling-hot Ian. At first it's exhilarating--Vee and Ian's fans cheer them on to riskier dares with higher stakes. But the game takes a twisted turn when they're directed to a secret location with five other players for the Grand Prize round. Suddenly they're playing all or nothing, with their lives on the line. Just how far will Vee go before she loses NERVE.",3.9,English,Reprint edition ,NA
